veg69,veg12,S
1.0,2.0,0.05626624999999999
1.0,1.0,0.05196649999999999
1.0,1.0,0.07648474999999999
1.0,1.0,0.13742125
1.0,1.0,0.0713095
1.0,1.0,0.374915
1.0,3.0,0.09276200000000001
1.0,2.0,0.121197
1.0,1.0,0.06291324999999999
1.0,1.0,0.08187799999999999
1.0,1.0,0.06149774999999999
1.0,1.0,0.14288875
1.0,1.0,0.06983099999999999
1.0,3.0,0.08268874999999999
1.0,1.0,0.1164205
1.0,1.0,0.068075
1.0,3.0,0.0689145
1.0,1.0,0.06947475
1.0,1.0,0.0902285
2.0,2.0,0.10968549999999999
1.0,3.0,0.1072165
1.0,2.0,0.08914549999999999
1.0,4.0,0.3279825
1.0,1.0,0.06185725
1.0,1.0,0.062139
1.0,5.0,0.147711
1.0,1.0,0.38475249999999994
1.0,1.0,0.071602
1.0,1.0,0.06329925
1.0,1.0,0.18379199999999998
2.0,3.0,0.05463024999999999
1.0,3.0,0.18165725
1.0,1.0,0.13482299999999997
1.0,1.0,0.07020225
1.0,3.0,0.05789199999999999
1.0,1.0,0.05901824999999999
1.0,3.0,0.05458374999999999
1.0,3.0,0.06799649999999999
1.0,2.0,0.13797574999999998
1.0,1.0,0.18413474999999999
1.0,1.0,0.0625555
1.0,3.0,0.10728725
1.0,3.0,0.08382924999999998
1.0,1.0,0.12619024999999998
1.0,2.0,0.0720955
1.0,3.0,0.0830295
1.0,1.0,0.052475249999999994
1.0,1.0,0.05627225
1.0,3.0,0.08605175
2.0,2.0,0.370555
1.0,1.0,0.056999249999999994
1.0,1.0,0.055161749999999996
1.0,2.0,0.0711335
2.0,1.0,0.070152
1.0,1.0,0.059538
1.0,2.0,0.09721724999999999
2.0,1.0,0.12489225
1.0,1.0,0.06428225
1.0,3.0,0.12400950000000002
2.0,1.0,0.04839575
1.0,1.0,0.063826
1.0,1.0,0.06856174999999999
1.0,3.0,0.14192625
1.0,1.0,0.31635
1.0,1.0,0.09260549999999998
1.0,2.0,0.1385255
1.0,1.0,0.11041274999999999
1.0,1.0,0.097249
1.0,1.0,0.0645885
2.0,1.0,0.09277075
1.0,2.0,0.11358725
1.0,1.0,0.07189525
1.0,1.0,0.0723885
1.0,1.0,0.08036824999999999
1.0,1.0,0.056231249999999997
1.0,1.0,0.058324249999999994
1.0,1.0,0.08327325000000001
1.0,1.0,0.07913925
1.0,1.0,0.30929249999999997
1.0,3.0,0.07566874999999999
1.0,3.0,0.08051775
1.0,2.0,0.08141275
1.0,3.0,0.07681
1.0,3.0,0.04013775
1.0,1.0,0.11386525
1.0,4.0,0.37484
2.0,1.0,0.0599375
1.0,1.0,0.06427424999999999
1.0,1.0,0.1219065
1.0,1.0,0.08821375
2.0,1.0,0.06637925
1.0,1.0,0.06615325
2.0,2.0,0.14269074999999998
1.0,2.0,0.08119525
1.0,1.0,0.103461
1.0,3.0,0.09297649999999999
1.0,1.0,0.09801675
1.0,4.0,0.599815
1.0,3.0,0.09944974999999999
1.0,3.0,0.10332825
1.0,3.0,0.12894524999999998
1.0,3.0,0.18395
1.0,1.0,0.06743774999999999
1.0,3.0,0.110466
1.0,1.0,0.058704999999999986
1.0,1.0,0.12724549999999998
1.0,3.0,0.11738874999999999
1.0,3.0,0.18364750000000002
1.0,1.0,0.261175
1.0,2.0,0.3190075
1.0,1.0,0.12946200000000002
1.0,2.0,0.11120524999999999
1.0,1.0,0.06545725
1.0,1.0,0.3663
