veg69,veg12,S
1.0,1.0,0.10435225000000001
1.0,1.0,0.05441775
1.0,3.0,0.0647735
1.0,1.0,0.18355275000000001
3.0,1.0,0.0622755
1.0,3.0,0.10196575000000001
2.0,2.0,0.15442625
1.0,1.0,0.08659575
1.0,1.0,0.10849950000000001
1.0,1.0,0.04737449999999999
1.0,1.0,0.17684275
1.0,1.0,0.054406249999999996
1.0,1.0,0.06442925
1.0,1.0,0.07075424999999999
1.0,2.0,0.08331825
1.0,1.0,0.05227499999999999
1.0,2.0,0.07220674999999999
1.0,2.0,0.17228275
1.0,1.0,0.09931125
1.0,1.0,0.0965925
1.0,1.0,0.27154999999999996
1.0,1.0,0.1320045
2.0,2.0,0.15705674999999997
1.0,1.0,0.3397475
1.0,1.0,0.070459
1.0,2.0,0.11091825000000002
1.0,1.0,0.06793350000000001
1.0,3.0,0.08321174999999999
1.0,3.0,0.0693905
1.0,1.0,0.055691499999999984
2.0,2.0,0.068681
3.0,2.0,0.0752185
1.0,2.0,0.095487
1.0,1.0,0.08158875
1.0,1.0,0.6214949999999999
1.0,3.0,0.2500225
3.0,3.0,0.070918
1.0,1.0,0.07727575
2.0,2.0,0.16433099999999995
1.0,1.0,0.05333525
1.0,1.0,0.074154
1.0,1.0,0.06412575000000001
2.0,2.0,0.08477399999999999
1.0,1.0,0.07637275
1.0,1.0,0.07979649999999999
1.0,3.0,0.13938725
1.0,1.0,0.08322924999999998
1.0,1.0,0.09806875
1.0,2.0,0.1334195
1.0,1.0,0.0640695
3.0,3.0,0.051269999999999996
1.0,1.0,0.06630625
1.0,1.0,0.11879975
1.0,1.0,0.10594299999999998
1.0,1.0,0.10121799999999999
1.0,3.0,0.10462674999999999
1.0,2.0,0.08325424999999999
1.0,3.0,0.07364375
1.0,1.0,0.060164499999999996
1.0,1.0,0.08464374999999999
1.0,1.0,0.12331450000000001
1.0,3.0,0.07121875
1.0,3.0,0.053743999999999986
1.0,3.0,0.06264475
2.0,1.0,0.08424749999999999
1.0,3.0,0.07069199999999999
3.0,2.0,0.09626875
1.0,1.0,0.05665375
1.0,3.0,0.1085285
1.0,1.0,0.1193
1.0,3.0,0.05799375
2.0,2.0,0.08957450000000002
1.0,1.0,0.34862000000000004
1.0,1.0,0.20005674999999998
1.0,1.0,0.1655845
1.0,2.0,0.18411299999999997
1.0,1.0,0.0843255
2.0,1.0,0.15513849999999998
2.0,1.0,0.07728199999999999
1.0,2.0,0.07047049999999999
1.0,1.0,0.085481
1.0,1.0,0.21910525
1.0,1.0,0.08253225
1.0,1.0,0.07649
1.0,1.0,0.06607274999999999
1.0,1.0,0.05787949999999999
1.0,1.0,0.07555925
1.0,3.0,0.11197974999999999
1.0,3.0,0.12772624999999999
1.0,1.0,0.594895
1.0,1.0,0.062138500000000006
1.0,1.0,0.16906775
1.0,1.0,0.05952699999999999
1.0,3.0,0.07535874999999999
1.0,2.0,0.05019725
1.0,1.0,0.08029475
1.0,1.0,0.22396549999999998
1.0,1.0,0.058422749999999996
1.0,2.0,0.17548599999999998
1.0,1.0,0.07517524999999999
1.0,1.0,0.33771
1.0,1.0,0.07585149999999999
1.0,3.0,0.053303500000000004
1.0,1.0,0.0680605
1.0,1.0,0.2865525
2.0,1.0,0.12446475000000001
1.0,2.0,0.075728
3.0,3.0,0.1210525
2.0,3.0,0.15038125
1.0,1.0,0.06756975000000001
1.0,1.0,0.05307925
1.0,2.0,0.11922150000000001
2.0,2.0,0.15684474999999998
1.0,1.0,0.11417999999999999
1.0,1.0,0.0707435
1.0,3.0,0.056491
1.0,3.0,0.0832
1.0,2.0,0.13031375
3.0,3.0,0.16971125
3.0,3.0,0.07269975000000001
3.0,3.0,0.13547425
1.0,1.0,0.06998625
1.0,1.0,0.11603225
1.0,2.0,0.06573175
1.0,3.0,0.267905
1.0,3.0,0.08141625
1.0,1.0,0.09705325000000001
2.0,2.0,0.07838675
1.0,1.0,0.07128
1.0,1.0,0.0757435
1.0,1.0,0.114352
1.0,1.0,0.05351675
1.0,1.0,0.22522450000000002
1.0,1.0,0.22422299999999995
1.0,1.0,0.05549925
1.0,1.0,0.12343024999999998
1.0,1.0,0.0639735
1.0,3.0,0.08644975
1.0,2.0,0.08076624999999998
1.0,3.0,0.16971025
1.0,1.0,0.06840149999999999
1.0,1.0,0.08725825000000001
2.0,2.0,0.0620275
1.0,3.0,0.06636199999999999
3.0,3.0,0.048678
1.0,3.0,0.0848325
1.0,1.0,0.07432425000000001
1.0,3.0,0.06601024999999999
1.0,1.0,0.19945675
1.0,1.0,0.0762465
2.0,1.0,0.108996
2.0,2.0,0.10965
1.0,3.0,0.09481275
1.0,3.0,0.0792285
1.0,1.0,0.056617999999999995
1.0,1.0,0.061406999999999996
1.0,1.0,0.15891275
1.0,1.0,0.13306325000000002
1.0,2.0,0.09541024999999999
1.0,1.0,0.337315
1.0,3.0,0.07402149999999999
1.0,1.0,0.056223
1.0,1.0,0.35712499999999997
1.0,3.0,0.07031899999999999
2.0,3.0,0.060482749999999995
1.0,1.0,0.050206
1.0,1.0,0.2814025
1.0,1.0,0.06475800000000001
1.0,3.0,0.04303025
1.0,3.0,0.0706095
1.0,2.0,0.16450299999999998
1.0,1.0,0.08591349999999999
1.0,3.0,0.06144075
1.0,3.0,0.12879924999999998
1.0,1.0,0.06920224999999999
1.0,1.0,0.05600924999999999
1.0,1.0,0.519915
1.0,3.0,0.0652455
1.0,3.0,0.147807
1.0,1.0,0.0954135
1.0,1.0,0.074359
1.0,1.0,0.24698175
1.0,1.0,0.16432549999999999
1.0,1.0,0.056418499999999996
1.0,3.0,0.25559249999999994
1.0,1.0,0.11079125
1.0,3.0,0.23017124999999997
2.0,2.0,0.11873024999999998
1.0,1.0,0.07339799999999999
2.0,1.0,0.09804724999999999
1.0,2.0,0.075554
1.0,1.0,0.08712
1.0,1.0,0.08396699999999999
1.0,1.0,0.06927149999999999
1.0,1.0,0.14736275
1.0,3.0,0.33988
1.0,1.0,0.06101625
1.0,1.0,0.06263025
1.0,3.0,0.07700925
1.0,2.0,0.12491499999999998
1.0,1.0,0.43945749999999995
2.0,1.0,0.0614525
1.0,1.0,0.064207
1.0,1.0,0.095542
1.0,1.0,0.23163374999999997
1.0,1.0,0.16560499999999997
1.0,1.0,0.061957
1.0,1.0,0.12535825
1.0,1.0,0.07325999999999999
1.0,2.0,0.073827
1.0,2.0,0.12159575
1.0,1.0,0.09451899999999998
1.0,1.0,0.10442125
1.0,1.0,0.05969375
1.0,1.0,0.13082625
1.0,1.0,0.06779824999999999
1.0,3.0,0.08218724999999999
1.0,1.0,0.23098925
1.0,1.0,0.21041349999999998
1.0,1.0,0.04806975
1.0,1.0,0.13799649999999997
1.0,1.0,0.09018749999999999
3.0,3.0,0.0494115
2.0,1.0,0.07110975
1.0,3.0,0.14037575
1.0,3.0,0.08337325
1.0,1.0,0.057298999999999996
1.0,3.0,0.11669975
2.0,2.0,0.15835275
1.0,1.0,0.057027999999999995
1.0,1.0,0.057543750000000005
1.0,1.0,0.12440625000000001
1.0,3.0,0.1433735
1.0,1.0,0.24104174999999997
1.0,3.0,0.14151124999999998
1.0,1.0,0.09687024999999999
1.0,1.0,0.13258399999999998
3.0,3.0,0.12664774999999998
1.0,3.0,0.06459899999999999
1.0,1.0,0.10354450000000001
1.0,3.0,0.194912
1.0,1.0,0.18346549999999998
1.0,1.0,0.10568774999999998
1.0,1.0,0.0735985
1.0,3.0,0.11847499999999998
1.0,2.0,0.12709325
1.0,3.0,0.06611600000000001
1.0,1.0,0.052724499999999994
1.0,1.0,0.049079750000000005
1.0,3.0,0.07169925
1.0,1.0,0.1512995
1.0,1.0,0.06696475
1.0,1.0,0.10739749999999999
1.0,1.0,0.17613199999999998
1.0,3.0,0.064081
1.0,3.0,0.04919775
1.0,1.0,0.44867749999999995
1.0,3.0,0.13185275000000002
1.0,1.0,0.06446274999999999
1.0,1.0,0.07039350000000001
1.0,1.0,0.18361575
1.0,1.0,0.28825249999999997
1.0,1.0,0.056087749999999985
3.0,1.0,0.07883425
1.0,1.0,0.12557924999999998
1.0,1.0,0.07427675
1.0,1.0,0.05917624999999999
3.0,1.0,0.04111675
1.0,1.0,0.06893225
1.0,2.0,0.08086949999999998
1.0,1.0,0.06888425
1.0,1.0,0.11501275
1.0,1.0,0.11054549999999998
1.0,1.0,0.09954824999999999
1.0,1.0,0.12118474999999998
1.0,2.0,0.0946965
3.0,1.0,0.09673275
1.0,3.0,0.08154325
1.0,1.0,0.19035074999999999
1.0,1.0,0.061433
2.0,1.0,0.050120750000000006
3.0,1.0,0.082527
1.0,3.0,0.074741
1.0,1.0,0.10146099999999998
1.0,2.0,0.09782975000000001
1.0,1.0,0.09886049999999999
1.0,1.0,0.3362
1.0,1.0,0.171143
1.0,1.0,0.3555975
1.0,1.0,0.065728
1.0,2.0,0.15789175
1.0,3.0,0.0625135
1.0,2.0,0.08404024999999998
1.0,2.0,0.10563625
1.0,3.0,0.071588
1.0,3.0,0.14825225
1.0,1.0,0.07286625
1.0,3.0,0.10590075
1.0,1.0,0.06958425
1.0,1.0,0.07381675
1.0,1.0,0.0619765
1.0,3.0,0.08964875
1.0,1.0,0.0681725
1.0,1.0,0.11736424999999999
1.0,2.0,0.09635950000000001
2.0,2.0,0.10873799999999999
1.0,1.0,0.194102
1.0,3.0,0.08073649999999999
2.0,2.0,0.041394249999999994
1.0,1.0,0.11115674999999997
3.0,3.0,0.14102099999999998
1.0,1.0,0.043768
1.0,1.0,0.06774949999999999
1.0,1.0,0.05672699999999999
1.0,1.0,0.10395
1.0,1.0,0.10747325
1.0,1.0,0.07496449999999999
1.0,1.0,0.087577
2.0,1.0,0.06231975
1.0,1.0,0.15346925
1.0,2.0,0.10661225
3.0,3.0,0.0650595
1.0,1.0,0.0698305
1.0,1.0,0.12991124999999998
1.0,2.0,0.15826724999999997
1.0,1.0,0.091153
1.0,1.0,0.05666575
3.0,2.0,0.09619525
1.0,1.0,0.06907425
1.0,1.0,0.12176674999999998
1.0,1.0,0.07757175
1.0,1.0,0.09432700000000001
1.0,1.0,0.06589049999999999
1.0,1.0,0.10230874999999999
1.0,3.0,0.05684825
3.0,1.0,0.0748025
1.0,1.0,0.144344
1.0,1.0,0.07879799999999999
3.0,3.0,0.08349224999999999
1.0,1.0,0.3185075
1.0,1.0,0.10567525
1.0,1.0,0.155037
1.0,1.0,0.095842
2.0,2.0,0.0709705
2.0,1.0,0.07277825
1.0,1.0,0.09100249999999999
1.0,1.0,0.08608699999999998
1.0,2.0,0.10852825
1.0,1.0,0.082755
1.0,1.0,0.1070485
1.0,3.0,0.13190749999999998
1.0,1.0,0.19189150000000002
1.0,1.0,0.103861
1.0,3.0,0.0766195
2.0,2.0,0.10370649999999998
1.0,1.0,0.06461
1.0,1.0,0.14450724999999998
2.0,3.0,0.06427000000000001
1.0,1.0,0.09911825
1.0,3.0,0.11785799999999998
1.0,1.0,0.17493224999999998
2.0,1.0,0.08039549999999998
1.0,1.0,0.05480649999999999
1.0,1.0,0.06765149999999999
1.0,3.0,0.06554624999999999
1.0,1.0,0.07154624999999999
3.0,1.0,0.074
1.0,3.0,0.18623025
1.0,1.0,0.0659835
1.0,1.0,0.057223249999999996
1.0,1.0,0.07263575
1.0,1.0,0.06303725
2.0,1.0,0.11546775000000001
3.0,1.0,0.13811825
2.0,2.0,0.16348875
1.0,1.0,0.13752899999999998
1.0,1.0,0.057010000000000005
2.0,1.0,0.053897499999999994
1.0,1.0,0.09163274999999999
1.0,1.0,0.06323324999999999
2.0,1.0,0.08060824999999999
1.0,1.0,0.16450099999999998
1.0,1.0,0.05582499999999999
1.0,1.0,0.049722999999999996
1.0,1.0,0.06167949999999999
1.0,1.0,0.04256399999999999
1.0,1.0,0.1304035
1.0,3.0,0.14947725
1.0,1.0,0.09514075
1.0,3.0,0.2592525
3.0,1.0,0.09922349999999999
1.0,1.0,0.06511600000000001
1.0,1.0,0.23816049999999997
1.0,1.0,0.061559499999999996
2.0,2.0,0.08668825
1.0,3.0,0.07546825
1.0,1.0,0.08411225
1.0,1.0,0.300855
1.0,2.0,0.07938524999999999
1.0,1.0,0.1208785
3.0,3.0,0.14869725
2.0,3.0,0.08564574999999999
1.0,1.0,0.06701449999999999
1.0,3.0,0.07060825
1.0,1.0,0.059175500000000006
1.0,1.0,0.06443449999999999
1.0,1.0,0.10795224999999999
1.0,1.0,0.06239725
1.0,3.0,0.25855
1.0,1.0,0.09928100000000001
1.0,1.0,0.06247199999999999
1.0,1.0,0.08761475
1.0,1.0,0.06220574999999999
1.0,1.0,0.102317
1.0,2.0,0.08678925
1.0,1.0,0.061559749999999996
1.0,3.0,0.06886275
1.0,1.0,0.079446
