veg69,veg12,S
1.0,1.0,0.19256574999999998
1.0,3.0,0.12588375
3.0,3.0,0.0759565
2.0,1.0,0.0773745
1.0,1.0,0.7668849999999999
2.0,3.0,0.18534949999999997
3.0,2.0,0.064481
2.0,3.0,0.07120499999999999
3.0,3.0,0.08924325
1.0,1.0,0.043470749999999996
2.0,3.0,0.08730725
1.0,3.0,0.12594675
1.0,3.0,0.12116124999999998
3.0,3.0,0.09143875
2.0,2.0,0.12715025
3.0,3.0,0.06079649999999999
1.0,1.0,0.077095
1.0,3.0,0.07562574999999999
1.0,1.0,0.071418
1.0,1.0,0.08651274999999999
1.0,1.0,0.058512499999999995
1.0,3.0,0.0651865
1.0,3.0,0.0587605
1.0,3.0,0.1009395
1.0,1.0,0.06988325
1.0,1.0,0.1995855
1.0,1.0,0.09833249999999999
1.0,1.0,0.10236674999999998
1.0,1.0,0.07482975
1.0,1.0,0.08023425
1.0,1.0,0.078746
1.0,3.0,0.07295125
1.0,2.0,0.06773124999999999
1.0,1.0,0.07976325
1.0,1.0,0.105498
1.0,3.0,0.09316475
1.0,1.0,0.3935449999999999
1.0,1.0,0.1386105
1.0,2.0,0.14173599999999997
1.0,1.0,0.09736049999999999
1.0,1.0,0.21877675
1.0,3.0,0.077065
1.0,1.0,0.254965
1.0,1.0,0.09482249999999999
1.0,1.0,0.0765375
1.0,1.0,0.04268924999999999
1.0,1.0,0.08561125
1.0,1.0,0.15694125
3.0,3.0,0.03985975
3.0,3.0,0.06419825
1.0,1.0,0.15031975
1.0,3.0,0.06648649999999999
1.0,3.0,0.06487874999999999
3.0,3.0,0.05061825
1.0,3.0,0.10055425
2.0,3.0,0.10394274999999999
1.0,1.0,0.064663
1.0,3.0,0.08700225
3.0,1.0,0.07973399999999999
1.0,1.0,0.05651175
2.0,2.0,0.1337935
1.0,3.0,0.2390165
1.0,1.0,0.07025474999999999
1.0,1.0,0.07541824999999999
3.0,3.0,0.05539125
2.0,3.0,0.08912725
1.0,1.0,0.12285475
1.0,1.0,0.4778699999999999
3.0,2.0,0.12675399999999998
1.0,1.0,0.08969474999999999
1.0,2.0,0.123996
1.0,3.0,0.09952
1.0,1.0,0.064635
1.0,1.0,0.07751825
1.0,1.0,0.12062325
1.0,1.0,0.07616625
1.0,1.0,0.17558625
2.0,3.0,0.130821
1.0,1.0,0.07345075
1.0,2.0,0.09981899999999998
1.0,1.0,0.08537149999999999
1.0,3.0,0.08176975
1.0,1.0,0.0676325
3.0,3.0,0.045412499999999995
1.0,1.0,0.0495055
2.0,2.0,0.07898675
1.0,2.0,0.07471549999999999
1.0,2.0,0.05363775
1.0,1.0,0.06550974999999999
1.0,1.0,0.05871899999999999
3.0,1.0,0.12565375
1.0,1.0,0.34428
1.0,1.0,0.110447
1.0,1.0,0.22490499999999997
1.0,1.0,0.06451825
1.0,1.0,0.059691999999999995
1.0,3.0,0.07976475000000001
1.0,2.0,0.11158075
1.0,2.0,0.056003500000000005
1.0,1.0,0.06062999999999999
1.0,1.0,0.19556075
1.0,2.0,0.09673950000000002
1.0,1.0,0.16944675
1.0,1.0,0.09302975
1.0,1.0,0.07009699999999999
1.0,3.0,0.05835475
2.0,2.0,0.0664405
1.0,1.0,0.332455
1.0,1.0,0.12192700000000001
1.0,1.0,0.06931625
1.0,1.0,0.24010349999999994
1.0,1.0,0.11803599999999999
1.0,1.0,0.08605049999999999
3.0,3.0,0.0527555
3.0,3.0,0.12746475
1.0,3.0,0.0619025
1.0,2.0,0.13719475
1.0,1.0,0.0717585
1.0,1.0,0.059318749999999996
1.0,1.0,0.079582
1.0,3.0,0.273875
1.0,1.0,0.1713415
1.0,3.0,0.05826774999999999
1.0,2.0,0.06605024999999999
1.0,1.0,0.1224725
2.0,3.0,0.10793825
2.0,1.0,0.0489285
1.0,3.0,0.0849325
1.0,3.0,0.10495049999999999
3.0,3.0,0.06006899999999999
1.0,1.0,0.08083625
1.0,1.0,0.165134
2.0,1.0,0.0762055
1.0,1.0,0.0623075
1.0,1.0,0.06262300000000001
1.0,1.0,0.15395825
1.0,1.0,0.09873724999999998
1.0,1.0,0.062646
1.0,1.0,0.06028399999999998
1.0,1.0,0.220012
1.0,1.0,0.06783299999999999
1.0,1.0,0.3042825
3.0,3.0,0.054799
1.0,1.0,0.05907925000000001
1.0,3.0,0.10709474999999999
1.0,3.0,0.08424424999999998
1.0,1.0,0.0946495
1.0,1.0,0.07025624999999999
1.0,1.0,0.08636799999999999
1.0,2.0,0.08670225000000001
1.0,1.0,0.06350249999999999
1.0,1.0,0.268475
3.0,3.0,0.06133149999999999
1.0,1.0,0.21777950000000001
1.0,2.0,0.06268475
1.0,2.0,0.09170199999999999
1.0,1.0,0.051732249999999994
1.0,1.0,0.07166375
1.0,1.0,0.11970225000000001
1.0,1.0,0.07443825
1.0,1.0,0.0568885
1.0,3.0,0.1260715
1.0,1.0,0.09410025
1.0,3.0,0.059311249999999996
1.0,1.0,0.045822499999999995
3.0,3.0,0.0748475
1.0,1.0,0.07161875
1.0,1.0,0.285445
1.0,3.0,0.12321799999999998
1.0,1.0,0.42544000000000004
1.0,1.0,0.07530674999999999
3.0,1.0,0.11385474999999999
2.0,3.0,0.07061374999999999
2.0,2.0,0.22715424999999997
1.0,2.0,0.14292049999999998
1.0,1.0,0.095127
1.0,1.0,0.12469475000000001
3.0,3.0,0.132011
1.0,1.0,0.076905
1.0,1.0,0.11106549999999998
1.0,1.0,0.35067249999999994
2.0,2.0,0.17937825
1.0,3.0,0.13443825
1.0,3.0,0.06135249999999999
1.0,3.0,0.09559524999999999
2.0,2.0,0.114122
1.0,1.0,0.0806335
1.0,3.0,0.08014524999999999
1.0,1.0,0.070581
1.0,1.0,0.210534
1.0,1.0,0.3397475
1.0,1.0,0.06307774999999999
