veg69,veg12,S
1.0,3.0,0.09280225
1.0,1.0,0.18419599999999994
2.0,1.0,0.07257775
3.0,3.0,0.061005500000000004
1.0,1.0,0.059012249999999995
1.0,1.0,0.13697125
1.0,1.0,0.06896999999999999
1.0,3.0,0.08523025
1.0,2.0,0.16544925
2.0,2.0,0.0488905
1.0,1.0,0.05362925
1.0,3.0,0.09251749999999999
1.0,1.0,0.059538
1.0,1.0,0.34974249999999996
1.0,3.0,0.153346
2.0,2.0,0.0604885
1.0,3.0,0.0644275
1.0,3.0,0.09562299999999999
1.0,2.0,0.11214674999999998
1.0,1.0,0.078467
1.0,3.0,0.06089724999999999
1.0,2.0,0.094907
1.0,1.0,0.11481374999999999
3.0,1.0,0.06702575
1.0,3.0,0.12215549999999999
1.0,1.0,0.08754549999999998
1.0,1.0,0.05765725
3.0,1.0,0.06362649999999999
1.0,1.0,0.05955475
1.0,3.0,0.10168849999999999
1.0,1.0,0.05112575
2.0,2.0,0.13404125
1.0,2.0,0.057257249999999996
1.0,1.0,0.10656075
1.0,1.0,0.06532600000000001
1.0,1.0,0.09724075000000001
1.0,1.0,0.4473025
1.0,3.0,0.0661835
1.0,1.0,0.0487155
1.0,1.0,0.05938375
1.0,2.0,0.08791274999999998
3.0,3.0,0.14092125
1.0,3.0,0.06204350000000001
1.0,1.0,0.0744075
1.0,2.0,0.07970574999999999
3.0,1.0,0.067589
1.0,1.0,0.48141999999999996
1.0,1.0,0.0532205
1.0,1.0,0.06625850000000001
1.0,1.0,0.19550525
1.0,2.0,0.11371149999999998
1.0,1.0,0.10571075
2.0,3.0,0.07345625
1.0,3.0,0.11087200000000001
1.0,1.0,0.12141774999999999
1.0,1.0,0.065946
2.0,1.0,0.0714995
1.0,1.0,0.10838049999999999
1.0,1.0,0.09896175
1.0,1.0,0.20644574999999998
1.0,3.0,0.059452250000000005
3.0,1.0,0.0699055
1.0,2.0,0.16109475
1.0,3.0,0.068645
1.0,2.0,0.099187
1.0,3.0,0.07527875
1.0,2.0,0.10084024999999999
1.0,3.0,0.06004424999999999
1.0,1.0,0.09231500000000001
1.0,3.0,0.4892375
1.0,1.0,0.08161774999999999
1.0,2.0,0.082268
1.0,3.0,0.06600225
1.0,1.0,0.11127474999999999
1.0,1.0,0.09534274999999999
1.0,3.0,0.08166475000000001
1.0,3.0,0.04303025
